num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 4 , outputs=[6.149992 6.149950 6.122988 6.124091 6.149006 6.148949 6.144220 6.144305 6.150837 6.150823 6.144038 6.144009 6.123449 6.123211 6.115901 6.115622 6.123784 6.123630 6.145360 6.145374 6.157469 6.157483 6.154617 6.154603]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 4 , outputs=[12.139919 12.136626 12.058066 12.134596 12.192744 12.142225 12.145082 12.179136 12.128948 12.173999 12.079118 12.055250 12.135309 12.171184 12.052977 12.173392 12.029481 12.055358 12.058499 12.165612 12.079608 12.148435 12.073251 12.058066]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 4 , outputs=[2.059853 2.059793 2.059793 2.059793 2.059793 2.059793 2.061066 2.061024 2.061024 2.061024 2.061026 2.061023 2.062310 2.062250 2.062310 2.062310 2.062312 2.062312 2.062424 2.062424 2.062424 2.062421 2.062424 2.062424]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 4 , outputs=[3.089403 3.089407 3.089453 3.089410 3.091972 3.092004 3.091987 3.091976 3.088934 3.088934 3.088937 3.088952 3.091339 3.091314 3.091317 3.091317 3.090552 3.090516 3.090516 3.090509 3.091492 3.091492 3.091520 3.091488]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 4 , outputs=[4.111219 4.111143 4.111124 4.110828 4.110816 4.110810 4.110124 4.110111 4.110161 4.115385 4.115398 4.115234 4.118871 4.118725 4.118864 4.115189 4.115120 4.115189 4.109595 4.109526 4.109582 4.114647 4.114653 4.114672]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 5 , outputs=[6.123183 6.123435 6.159037 6.159065 6.125964 6.125768 6.146809 6.146696 6.117587 6.117504 6.155506 6.154165 6.154772 6.154772 6.129587 6.129657 6.156762 6.156819 6.144881 6.144558 6.157257 6.157200 6.119331 6.119149]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 5 , outputs=[12.150854 12.151789 12.062943 12.052760 12.058337 12.132237 12.156632 12.095828 12.140468 12.076782 12.160487 12.131141 12.141676 12.113677 12.083033 12.074011 12.056495 12.155971 12.053788 12.055033 12.056279 12.130647 12.107121 12.178638]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 5 , outputs=[2.059808 2.059810 2.059810 2.059811 2.059800 2.059810 2.062705 2.062700 2.062703 2.062706 2.062703 2.062637 2.061366 2.061365 2.061366 2.061409 2.061365 2.061366 2.057707 2.057735 2.057705 2.057704 2.057707 2.057705]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 5 , outputs=[3.089446 3.089446 3.089488 3.089446 3.089158 3.089119 3.089140 3.089115 3.084628 3.084653 3.084632 3.084696 3.089108 3.089076 3.089076 3.089055 3.088433 3.088433 3.088475 3.088443 3.089990 3.089997 3.089986 3.089990]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 5 , outputs=[4.112794 4.112787 4.112781 4.114048 4.113840 4.114035 4.109268 4.109186 4.109299 4.090514 4.090395 4.090476 4.113676 4.113594 4.113670 4.110111 4.110212 4.110205 4.112592 4.112737 4.112592 4.107752 4.107765 4.107633]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 6 , outputs=[6.124594 6.124469 6.102845 6.102789 6.153248 6.153276 6.149485 6.149555 6.127726 6.127684 6.150006 6.149485 6.116208 6.116431 6.133270 6.133088 6.121661 6.121745 6.030970 6.030767 6.117797 6.117448 6.115622 6.115748]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 6 , outputs=[12.068366 12.162526 12.097736 12.129551 12.093648 12.118052 12.153715 12.055846 12.163463 12.058933 12.102809 12.066521 12.109961 12.070319 12.056225 12.053409 12.056387 12.103245 12.142665 12.137010 12.092831 12.109579 12.113021 12.076836]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 6 , outputs=[2.061389 2.061387 2.061389 2.061389 2.061387 2.061389 2.062233 2.062229 2.062231 2.062247 2.062231 2.062233 2.062082 2.062090 2.062090 2.062090 2.062085 2.062090 2.061040 2.061024 2.061024 2.061023 2.061024 2.061040]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 6 , outputs=[3.090605 3.090609 3.090612 3.090602 3.090559 3.090559 3.090559 3.090584 3.091171 3.091203 3.091164 3.091168 3.091620 3.091616 3.091620 3.091677 3.091153 3.091164 3.091207 3.091168 3.087562 3.087495 3.087495 3.087530]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 6 , outputs=[4.114319 4.114243 4.114231 4.108802 4.108815 4.108821 4.110816 4.110835 4.110753 4.109683 4.109677 4.109507 4.109966 4.109966 4.109922 4.107740 4.107740 4.107822 4.085434 4.085390 4.085421 4.114206 4.114174 4.114136]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 7 , outputs=[6.154814 6.154857 6.153403 6.153248 6.116458 6.116626 6.161044 6.161016 6.138979 6.139120 6.073997 6.073832 6.130161 6.129993 6.156339 6.156311 6.117574 6.117406 6.152543 6.152501 6.100099 6.100016 6.116514 6.116584]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 7 , outputs=[12.150414 12.057416 12.055737 12.055900 12.074826 12.116685 12.148874 12.055467 12.167929 12.152284 12.059908 12.160983 12.158835 12.055088 12.056170 12.076945 12.064623 12.064027 12.058174 12.116903 12.137668 12.139260 12.144917 12.101226]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 7 , outputs=[2.061577 2.061577 2.061577 2.061577 2.061577 2.061577 2.061870 2.061870 2.061870 2.061868 2.061865 2.061868 2.061276 2.061243 2.061243 2.061305 2.061169 2.061243 2.055397 2.055399 2.055397 2.055395 2.055397 2.055400]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 7 , outputs=[3.090484 3.090506 3.090492 3.090470 3.087839 3.087818 3.087754 3.087818 3.087896 3.087910 3.087921 3.087896 3.087239 3.087239 3.087285 3.087296 3.089645 3.089652 3.089638 3.089652 3.089115 3.089112 3.089119 3.089119]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 7 , outputs=[4.110614 4.110677 4.110665 4.109067 4.109016 4.109205 4.112850 4.112718 4.112838 4.113802 4.113726 4.113802 4.110721 4.110766 4.110703 4.107312 4.107256 4.107237 4.102454 4.102360 4.102360 4.111956 4.111748 4.111956]
